cleaned_type,capacity_MW,address,cleaned_approval_time,company,owner
wind,98.0,강원도 평창군 도암면횡계리,2002-06-01,강원풍력발전(주),이건우
gas,36.4,전남 여수시 월내동 350,2002-06-01,코리아카본블랙(주)여수발전소,후란쓰이스링거
gas,12.5,인천시 부평구 갈산1동94,2002-06-01,코리아카본블랙(주)부평발전소,후란쓰이스링거
gas,70.88,인천시 서구 백석동 58,2002-09-01,(주)상원이엔씨매립가스,이호인
coal,5800.0,충남 보령시 오천면오포리 산 212,2002-09-01,한국중부발전(주)보령발전소,김영철
coal,4000.0,충남 태안군 원북면방갈리,2002-11-01,한국서부발전(주)태안화력발전소,이영철
gas,1000.0,충남 당진군 송악면부곡1리,2002-11-01,LG에너지(주)부곡발전소,조방래
coal,4000.0,충남 당진군 석문면교로리 산 974,2002-12-01,한국동서발전(주)당진화력발전소,이용오
wind,6.0,경남 양산시 원동면대리 산 93-4,2003-02-01,(주)코에지 양산풍력발전소,문무길
gas,3.46,대전시 유성구 금고동산21,2003-04-01,대전시금고동쓰레기매립가스발전소,이돈영
gas,500.0,전남 순천시 해룡면율촌 제1산단,2003-05-01,메이야율촌전력(주),콜린시우떵탬
coal,1000.0,경남 하동군 금성면가덕리 310,2003-05-01,한국남부발전(주)하동화력,이임택
gas,50.0,인천시 서구 백석동 58,2003-06-01,에코에너지(주)수도권매립지 매립발전소,조동일
wind,40.0,경북 영덕군 영덕읍창포리,2003-10-01,영덕풍력발전(주),김길원
gas,450.0,전남 광양시 금호동광양제철소 스래그처리장,2003-06-01,sk전력(주),박영덕
others,40.0,제주시 삼양1동 900,2003-11-01,한국중부발전(주)제주화력,김영철
others,200.0,제주도 남제주군 안덕면화순리 610,2003-11-01,한국남부발전(주)남제주화력,이임택
wind,8.0,경남 양산시 원동면대리 산 93-4,2003-12-01,(주)코에지 양산퐁력발전소,문무길
coal,800.0,인천시 옹진군 영흥면외리 산 168,2003-12-01,한국남동발전(주)영흥화력,윤행순
others,254.0,대전시 대덕구 연축동산 6-2,2004-10-01,한국수자원공사,고석구
wind,12.0,경남 양산시 원동면대리 산 93,2007-06-01,dk풍력발전(주)양산발전소,장기형
nuclear,2000.0,부산시 기장군 장안읍효암리,2005-02-01,한국수력원자력(주),이중재
others,8.0,전주시 완산구 상림동산 180-6,2005-04-01,전주시,전주시장
gas,747.0,경남 통영시 광도면안정리,2005-05-01,안정에너지(주),정태훈
gas,504.0,인천시 서구 원창동인천 화력발전소,2005-06-01,한국중부발전(주),김영철
hydro,800.0,경북 예천군 하리면송월리,2005-07-01,한국남동발전(주),박희갑
hydro,1000.0,강원도 양양군 서면영덕리,2005-07-01,한국중부발전(주),김영철
hydro,600.0,경북 청송군 파천면신흥리,2005-07-01,한국서부발전(주),김종신
coal,1000.0,충남 당진군 석문면교로리 산 974,2005-07-01,한국동서발전(주),이용오
nuclear,2000.0,경북 경주시 양북면봉길리 일원,2006-01-01,한국수력원자력(주),이중재
coal,500.0,인천시 서구 원창동 336,2006-05-01,한국중부발전(주),정장섭
wind,3.4,전북 군산시 비옹도동군장 국가산단,2006-07-01,전라북도,김완주
hydro,5.0,충남 보령시 오천면보령화력내,2006-10-01,한국중부발전(주),정장섭
coal,1000.0,인천시 서구 원창동244-17외,2006-12-01,포스코파워(주),이승우
others,8.2,경기도 이천시 호법면안평3리 산 98,2007-02-01,경기도 이천시,이천시장
wind,64.5,경북 영양군 석보면요원리 삼의리,2007-02-01,(주)영양풍력발전공사,산체스
coal,717.0,전북 군산시 경암동590-2,2007-03-01,한국서부발전(주)군산복합화력,김종신
coal,507.0,충남 서산시 대산읍독곶리 634,2007-03-01,현대중공업(주)대산복합화력,민계식
wind,40.0,강원도 횡성군 둔내면태기리산 1-1,2007-03-01,(주) 태기산 풍력발전,마사루
solar,15.0,전북 고창군 흥덕면치룡리 100,2007-06-01,(주)고창솔라파크,박현우
wind,12.0,경남 양산시 원동면대리 산 93,2007-06-01,dk풍력발전(주)영산발전소,장기형
wind,50.6,경남 밀양시 산내면삼양리 산 1-3,2007-08-01,(주)경남신제생에너지,이재혁
solar,7.0,충남 보령 청소면,2008-01-01,엘지솔라에너지,안성덕
solar,9.99,강원도 춘천 송암동,2008-01-01,강원솔라파크,허경춘
others,5.3,경기 고양 백석동,2008-01-01,고양시(경기),고양시장
wind,20.0,강원 삼척 하장면,2008-03-01,한국남부발전,사장
solar,9.9,경북 김천 어모면,2008-03-01,삼성에버랜드,대표
solar,9.4,경북 김천 어모면,2008-03-01,김천 에너빅스,김기태
solar,13.0,전남 영광 백수읍,2008-03-01,디쏠라에너지,채준석
coal,1000.0,인천 연수 동천동,2008-04-01,대림산업(주),대표
coal,800.0,경기 평택 오성면,2008-06-01,오송복합(디피오서비스),대표
wind,85.0,경북 김천 봉산면,2008-07-01,김천 풍력발전,이영호
others,5.0,전북 익산시 부송동,2008-07-01,익산시(전북),익산시장
coal,501.0,충남 당진 송악면,2008-08-01,GS-EPS,정종수
hydro,60.0,경기 가평 설악면,2008-11-01,한국수력원자력김종신,
others,4.4,경기 화성 봉담읍,2008-11-01,화성시(경기),화성시장
others,520.0,충남 서산 대산읍,2010-03-01,가로림 조력,서현교
hydro,4.95,경기 여주 능서면,2010-04-01,한국수자원공사3),김건호
others,11.2,대구 달서 대천동,2010-04-01,티에스원,정형지
others,10.0,강원 원주 지정면,2010-05-01,한국중부발전,남인석
coal,820.0,경기 포천 창수면,2010-05-01,그린택개발(포천LNG복합),김진서
others,25.15,부산 강서 생곡동,2010-05-01,부산이앤이,조상순
wind,10.0,강원 태백 창죽동,2011-01-01,창죽풍력,예병국
coal,725.0,경기 포천 창수면,2011-03-01,포천파워,김영길
coal,2000.0,강원 삼척 윈덕읍,2011-04-01,한국남부발전,남호기
others,380.0,충남 태안 원북면,2011-04-01,한국서부발전,김문덕
others,5.6,부산 강서구,2011-04-01,부산연료전지발전,김도윤
bioenergy,30.0,강원 동해시 구호동,2011-07-01,동서발전,이길구
gas,1500.0,경기 동두천시 광암동,2011-07-01,동두천드림파워,김홍주
wind,6.0,경남 어곡동,2011-07-01,원드밀파워,강창석
gas,263.2,경북 포항시 남구,2011-07-01,포스코파워,조서익
coal,39.6,강원도 동해시 삼화동,2011-07-01,한국지역난방공사,정승일
hydro,5.0,경북 영주시 평은면,2011-07-01,수자원공사,김건호
wind,17.5,경북 경주시 양북면,2011-07-01,경주풍력발전,최경식
solar,5.0,전남 신안군 팔금면 원산리,2011-09-01,신안에너지주식회사,김재석
solar,7.5,전남 신안군 팔금면 진고리,2011-09-01,신안에너지주식회사,김재석
wind,40.0,전남 영암군 금정면 연소리,2011-10-01,대명지이씨(주),서기섭
gas,1800.0,경기 파주시 파주읍봉암리,2011-10-01,피앰피(장문LNG발전),신창동
gas,800.0,서울 마포구 당인동,2011-10-01,"한국중부발전(주)(서울복합 1,2호기)",남인석
gas,400.0,경북 안동시 풍산읍 괴정리,2011-10-01,한국남동발전(주)(안동복합화력),이상호
wind,12.5,경북 경주시 감포읍,2011-12-01,신월성풍력(주),신승정
wind,20.0,경북 경주시 양남면,2011-12-01,한국동서발전(주),이길구
coal,2100.0,충남 태안군 원북면발전로 447-40,2011-12-01,"한국서부발전(주)(태안 #9,10호기)",김문덕
bioenergy,100.0,충남 당진군 송악면부곡리 564,2011-12-01,당진바이오메스GS - EPS(주),이완경
others,4.7,경북 경주시 천군동1516번지 일원,2011-12-01,폐열발전(경주환경에너지),황보현
wind,42.0,경북 영양군 영양읍,2011-12-01,STX에너지(주),이병호
solar,11.0,부산 강서구 신호동,2012-01-01,부산신호태양광발전(주)1호기,강태일
solar,9.0,부산 강서구 신호동,2012-01-01,부산신호태양광발전(주)2호기,강태일
wind,20.0,경남 양산시 원동면,2012-01-01,에스케이이엔에스(주),문덕규
others,58.8,경기도 화성시 향남읍,2012-01-01,경기연료전지발전(주),김준수
gas,872.0,울산 남구 남화동,2012-01-01,울산 4 복합화력발전(한국동서발전),이길구
gas,868.5,경기도 평택시 포승면,2012-01-01,평택복합 2단계 발전,김문덕
solar,10.0,전남 해남군 황산면원호리 435-1외 5필지,2012-02-01,(주)금약코리아,이치훈
solar,13.295,전남 영암군 삼호읍삼포리 1895-8,2012-02-01,영암에프원태양발전(주),오경홍
coal,834.3,경기도 안산시 초지동MTV5공구 BL 103-1,2012-03-01,S-POWER(주)(안산복합),유재권김양수
others,841.2,서울시 강남구 논현로 508서울시 영등포구여의도동35-6,2012-03-01,GS에너지(주)(주)삼천리 컨소시엄,나완배신완중
others,432.4,경기도 오산시 누읍동332,2012-03-01,대성산업(주)코젠사업부,김영대
others,91.7,충남 서산시 대산읍독곶리 411-1,2012-03-01,삼성토탈(주),손석원마크반더엘스터
wind,20.0,강원도 태백시 창죽동산63번지,2012-04-01,대명지이씨(주),서기섭
coal,1100.0,충남 당진시 석문면교로3리 1026외,2012-06-01,동부발전당진(주),최홍건
others,113.0,대전시 대덕구 신일서로68번길 71,2012-06-01,대전열병합발전(주),고훈진
others,16.0,경기도 평택시 죽백동334-3,2012-06-01,평택에너지서비스(주),박영덕
solar,6.888,전남 해남군 황산면호동리 909-21,2012-06-01,(주)다남솔라,이재문
solar,7.872,"전남 해남군 황산면한자리726,752-1,747및호동리968-6",2012-06-01,(주)제이더블유에너지,이정원
gas,398.9,경기도 하남시 풍산동일원,2012-06-01,코원에너지서비스(주),조민래
coal,85.069,전북 군산시 소룡동53-8,2012-06-01,군장에너지(주),오창석
coal,20.8,경기도 시흥시 정왕동시화공단 2바 101,2012-06-01,KG ETS(주),이정섭
others,10.0,강원도 원주시 지정면신평리 420-1,2012-06-01,한국중부발전(주),남인석
bioenergy,55.0,충북 청원군 옥산면국사리,2012-07-01,충청에너지서비스,손동식
coal,1283.9,"경기도 화성시 석우동39,동탄면 방교리 634",2012-07-01,한국지역난방공사,정승일
gas,42.6,경남 진주시 남강로1317길 24,2012-07-01,무림파워텍(주),김대영
gas,62.6,경기도 안산시 초지동672,2012-07-01,안산도시개발(주),정경수김진규
gas,228.0,경기도 하남시 학암동일원,2012-07-01,위례에너지서비스(주),박영수
gas,525.0,경기도 부천시 오정구삼정동 363-3,2012-08-01,GS파워(주),손영기
solar,9.0,경기도 이천시 대월면초지리 57,2012-09-01,네추럴오투피아(주),백종호윤정택
bioenergy,300.0,전남 여수시 월화동144-16 화치동 1293,2012-09-01,금호석유화학(주),박찬구
bioenergy,372.9,전남 여수시 산단중앙로 145전북 군산시 비응도동 31,2012-09-01,여수열병합발전(주),권혁웅
gas,303.0,전북 군산시새만금산업단지내,2012-09-01,OCI SE (주),김재신
wind,48.0,경북 청송군 현서면무계리 산 11,2012-10-01,청송 면봉산풍력발전,조정호
wind,30.0,"강원도 평창군 미탄면회동리,평안리정선군 정선읍 회동리",2012-10-01,평창풍력발전(주),백흥건
bioenergy,160.0,경기도 포천시 신북면신평리 220-1,2012-10-01,STX에너지(주),이병호
gas,76.955,경기도 안산시 단원구초지동 661,2012-10-01,STX에너지(주),이병호
gas,185.3,경북 구미시 공단2동291,2012-10-01,STX에너지(주),이병호
solar,3.984,충청남도 부여군 장암면석동리 산42-1,2012-12-01,삼부건설(주),장덕영
gas,109.0,광주광역시 광산구수완로 130,2012-12-01,수완에너지(주),김홍권
others,40.0,충북 단양군 매포읍매포리 270,2012-12-01,이에스파워 유한회사,심수섭
gas,38.1,시흥 장현 목감지구내일원,2013-01-01,(주)GS&(주)소모석유컨소시엄,서경석신준수
gas,6.0,경기도 시흥시 정왕동1771-1,2013-01-01,안산도시개발(주),장경규김진규
wind,40.0,경남 거제시 일운면소동리 일원,2013-01-01,거제풍력(주),박기철김성훈
wind,39.0,전남 신안군 자은면백산리 일원,2013-01-01,자은주민바람발전소,임춘호
coal,18.0,충북 제천시 송학면입석리 289,2013-02-01,군장에너지(주),오창석
solar,25.0,전남 고흥군 금산면어적리 264,2013-02-01,거금솔라파크,최규석
solar,25.0,전남 고흥군 대서면남정리 2431-26,2013-02-01,남정수상태양광,김명희
wind,12.0,경북 경주시 강동면왕신리 산46-1,2013-02-01,경주산업단지풍력발전(주),박근식
wind,6.0,경북 경주시 천북면화산리 1180-21,2013-02-01,경주산업단지풍력발전(주),박근식
gas,25.32,충남 천안시 청당동청수8로 54,2013-02-01,중부도시가스(주),유대표
coal,20.0,광주광역시광주전남혁신도시내,2013-03-01,한국지역난방공사,정승일
gas,950.0,충남 당진군 송악면부곡공단로 241,2013-04-01,GSEPS(주),이완경
others,9.9,경기도 화성시 장안면노진리 16,2013-04-01,SE그린 에너지(주),정광성
gas,1147.0,인천시 서구 원창동437-1,2013-04-01,포스코에너지(주),오창관
solar,10.408,대구시 달성군 하빈면동곡리,2013-04-01,낙동강발전(주),박유성
wind,40.0,강원도 정선군 고한읍고한리 산216-1 등지,2013-04-01,정암풍력발전(주),이용운
gas,130.4,경기도 남양주시별내3로 391 일원,2013-04-01,별내에너지(주),이승칠
bioenergy,38.9,"충남 당진군 석문면삼봉리, 고대면 성산리",2013-04-01,"(주)경동,한국동서발전(주),코오롱글로벌(주)",손달호이길구안병덕
coal,395.069,전북 군산시 소룡동53-8 일원,2013-04-01,군장에너지(주),오창석
gas,62.6,경기도 안산시 단원구초지동 672,2013-04-01,안산도시개발(주),장경수김진규
coal,2120.0,강원도 강릉시 강동면대동리 일원,2013-04-01,삼성물산(주),정연주
coal,2100.0,경남 고성군 하이면덕호리 880번지 외,2013-04-01,SK건설(주),최광철조기행
solar,3.315,경남 진주시 이반성면장안리 1081-2외 38필지,2013-05-01,애플토리아(주),박정욱
wind,60.0,경북 청송군 현서면무계리 산11번지 일원,2013-04-01,청송 면봉산풍력(주),조정호
solar,10.076,충남 아산시 인주면금성리 123,2013-04-01,현대아산태양광발전(주),임장순
wind,20.0,경남 거창군 신원면덕산리 산57번지 일원,2013-04-01,대명지이씨(주),서기섭
solar,20.0,전남 나주시 영산동 664-1292필지,2013-05-01,영산강발전이(주),이인규
gas,1000.0,경기도 여주군 북내면외룡리 366,2013-05-01,SK E&S,유정준
coal,221.9,전북 군산시 외항로1222,2013-05-01,한화에너지(주),권혁응
solar,9.0,전남 해남군 송지면학가리 324-1,2013-05-01,(주)해남그린에너지,오형석
wind,60.0,전남 신안군 비금면구림리 39-10,2013-05-01,(주)서희건설,곽선기
gas,469.0,경기도 하남시 학암동 일원(사업지구 내),2013-07-01,위례에너지서비스(주),박영수
coal,38.0,울산시 남구 횡성동처용로 718 일원,2013-07-01,SK케미칼(주),이문석
solar,25.0,전남 무안군 운남면연리 및 성내리 등지,2013-07-01,(주)인순,나은경
solar,3.915,충남 당진시 석문면난지도리 183 일원,2013-07-01,세현어너지(주),최종하
coal,2100.0,강원도 삼척시 적노동일원,2013-07-01,동양파워(주),최연희
wind,99.5,전북 부안군 위도 및전남 영광군 안마군도,2013-07-01,한국해상풍력(주),최인규
gas,920.0,경남 통영시 광도면 일원,2013-08-01,통영에코파워(주),김성일
gas,960.4,경기도 포천시 신북면계류리 일원,2013-08-01,대우에너지(주),조재민
gas,470.0,울산시 남구 매암동 29,2013-08-01,한국남부발전(주),이상호
gas,5.852,서울시 강서구 양천로201번지,2013-08-01,서남바이오에너지(주),장광성
gas,939.8,경기도 안양시 동안구부림로 100,2013-08-01,GS파워(주),손영기
wind,40.0,전남 신안군 자은면백산리 271번지 일원,2013-09-01,(주)천사풍력,김기중
solar,8.0,전남 해남군 화원면 구림리일원,2013-09-01,(주)탑선에너지,윤정택
solar,10.0,충남 서산시 대산읍기은리 628-6 등지,2013-09-01,대산에너지(주),문재경
solar,6.5,제주시 애월읍 어음리산 68-4번지 일원,2013-09-01,제주에코에너지(주),주효준이성찬
solar,6.0,경북 봉화군 봉성면외삼리 산124외 12필지,2013-09-01,(주)화정네트웍스,성유철
solar,4.0,세종시 부강면 부강리산23 육군종합보급창고,2013-09-01,하이패스태양광(주),홍찬희
solar,10.0,전남 나주시 영산동664-1 등지,2013-09-01,영산강발전이(주),이인규
