plant_count,geometry.coordinates,capacity_MW,cleaned_type,properties.article
6,"[129.0464035, 37.0845505]",121.2,gas,"<div class='plant_list'><P>Type: gas
Capacity: 19.8 MW
Address: 강원도  태백시  동점동  동점산업단지  블록  3-4(태백시  동점산업단지내)
Company: 티비에너지
Owner: 김동현
Approved year: 2021</p><p> Type: gas
Capacity: 21.0 MW
Address: 강원도  태백시  동점동  동점산업단지  블록  3-5(태백시  동점산업단지내)
Company: 동도에너지
Owner: 이사영
Approved year: 2022</p><p> Type: gas
Capacity: 19.8 MW
Address: 강원도  태백시  동점동  동점산업단지  블록  3-6(동점산업단지내)
Company: 동점그린에너지
Owner: 김선웅
Approved year: 2021</p><p> Type: gas
Capacity: 19.8 MW
Address: 강원도  태백시  동점동  동점산업단지  블록  3-6(동점산업단지내)
Company: 동점그린에너지
Owner: 정려안
Approved year: 2021</p><p> Type: gas
Capacity: 19.8 MW
Address: 강원도 태백시 동점동 동점산업단지 블록 3-4(태백시 동점산업단지내)
Company: 티비에너지
Owner: 김선웅
Approved year: 2021</p><p> Type: gas
Capacity: 21.0 MW
Address: 강원도태백시동점동동점산업단지블록3-5(태백시동점산업단지내)
Company: 가진
Owner: 정용주
Approved year: 2022</P></div>"
5,"[128.7209909, 37.7031357]",112.0,wind,"<div class='plant_list'><P>Type: wind
Capacity: 6.6 MW
Address: 강원  평창군  대관령면  횡계리 산2-1
Company: 진고개윈드캠퍼스
Owner: 황의정
Approved year: 2016</p><p> Type: wind
Capacity: 40.0 MW
Address: 강원도  평창군  대관령면  횡계리  산1-137,  산1-140,  산302번지
Company: 평창에코파워
Owner: 이기경
Approved year: 2018</p><p> Type: wind
Capacity: 39.0 MW
Address: 강원도  평창군  대관령면  횡계리  산178,  188-1,    188-10, 188-11,  1-134
Company: 횡계신재생발전 
Owner: 조성훈 
Approved year: 2014</p><p> Type: wind
Capacity: 3.3 MW
Address: 강원도  평창군  횡계리  산 1-174
Company: 강원도청
Owner: 강원도청
Approved year: 2016</p><p> Type: wind
Capacity: 23.1 MW
Address: 강원도 평창군 대관령면횡계리 산1-1
Company: 대관령풍력(주)
Owner: 박대문
Approved year: 2013</P></div>"
5,"[128.4932052, 37.1656066]",49.5,gas,"<div class='plant_list'><P>Type: gas
Capacity: 9.9 MW
Address: 강원도  영월군  영월읍  정양리  540,  541-1,  541-2, 566,  567,  568,  569
Company: 코엠연료전지
Owner: 천병권
Approved year: 2019</p><p> Type: gas
Capacity: 9.9 MW
Address: 강원도  영월군  영월읍  정양리  540,  541-1,  541-2, 566,  567,  568,  569
Company: 굿모닝에너지
Owner: 오태근
Approved year: 2019</p><p> Type: gas
Capacity: 9.9 MW
Address: 강원도  영월군  영월읍  정양리  540,  541-1,  541-2, 566,  567,  568,  569
Company: 마차퓨어셀
Owner: 강우순
Approved year: 2019</p><p> Type: gas
Capacity: 9.9 MW
Address: 강원도  영월군  영월읍  정양리  540,  541-1,  541-2, 566,  567,  568,  569
Company: 앤피피퓨어셀
Owner: 노승일
Approved year: 2019</p><p> Type: gas
Capacity: 9.9 MW
Address: 강원도  영월군  영월읍  정양리  540,  541-1,  541-2, 566,  567,  568,  569
Company: 영월퓨어셀
Owner: 이승협
Approved year: 2019</P></div>"
5,"[126.7063341, 33.3988071]",94.9,solar,"<div class='plant_list'><P>Type: solar
Capacity: 20.0 MW
Address: 제주도  서귀포시  표선면 가시리  산  133외  24필지
Company: 가시리사랑
Owner: 민경탁
Approved year: 2019</p><p> Type: solar
Capacity: 20.0 MW
Address: 제주도  서귀포시  표선면 가시리  산  133외  9필지
Company: 표선발전태양광
Owner: 최윤이
Approved year: 2019</p><p> Type: solar
Capacity: 20.0 MW
Address: 제주도  서귀포시  표선면 가시리  산  136외  11필지
Company: 아시아그린에너지
Owner: 최정욱
Approved year: 2019</p><p> Type: solar
Capacity: 20.0 MW
Address: 제주도  서귀포시  표선면 가시리  산  136외  15필지
Company: 서귀포사랑
Owner: 탁민
Approved year: 2019</p><p> Type: solar
Capacity: 14.9 MW
Address: 제주도  서귀포시  표선면 가시리 3604 등 9개필지(3649, 3646, 3645,  3644,  3652-1,  3652-2, 3652-3, 3668-1)
Company: 한국남부발전 
Owner: 이승우 
Approved year: 2021</P></div>"
4,"[129.51648868036636, 35.53865916003904]",1932.0,wind,"<div class='plant_list'><P>Type: wind
Capacity: 504.0 MW
Address: 울산  동측  60km  앞  공유수면
Company: 귀신고래해상풍력발전1호 
Owner: 최우진,신정원 
Approved year: 2022</p><p> Type: wind
Capacity: 504.0 MW
Address: 울산  동측  60km  앞  공유수면
Company: 귀신고래해상풍력발전2호(
Owner: 최우진,신정원
Approved year: 2021</p><p> Type: wind
Capacity: 420.0 MW
Address: 울산동측63km앞공유수면
Company: 문무바람 
Owner: 주영규 
Approved year: 2021</p><p> Type: wind
Capacity: 504.0 MW
Address: 울산시  동측  60km  앞  공유수면
Company: 귀신고래해상풍력발전3호 
Owner: 최우진,신정원 
Approved year: 2021</P></div>"
4,"[126.7356547, 33.4806289]",63.1,solar,"<div class='plant_list'><P>Type: solar
Capacity: 20.0 MW
Address: 제주시  구좌읍  덕천리  산82
Company: 제주사랑에너지
Owner: 위대호
Approved year: 2016</p><p> Type: solar
Capacity: 20.0 MW
Address: 제주시  구좌읍  덕천리  산82
Company: 제주사랑에너지
Owner: 위대호
Approved year: 2016</p><p> Type: solar
Capacity: 20.0 MW
Address: 제주시  구좌읍  덕천리  산82
Company: 제주사랑에너지
Owner: 위대호
Approved year: 2016</p><p> Type: solar
Capacity: 3.1 MW
Address: 제주특별자치도  제주시  구좌읍  덕천리  산  82
Company: 제주사랑에너지
Owner: 위대호
Approved year: 2014</P></div>"
4,"[126.4014369, 34.8325814]",114.6,others,"<div class='plant_list'><P>Type: others
Capacity: 60.0 MW
Address: 전남  목포시  대양동  1181일원(대양  일반산업단지 52블록)
Company: 대양에프씨에너지
Owner: 강종연
Approved year: 2020</p><p> Type: others
Capacity: 15.0 MW
Address: 전남  목포시  대양동  797번지
Company: 더블류티이목포
Owner: 서준열
Approved year: 2015</p><p> Type: others
Capacity: 19.8 MW
Address: 전남  목포시  대양동 1181-1
Company: 더존에너지
Owner: 전주호
Approved year: 2020</p><p> Type: others
Capacity: 19.8 MW
Address: 전남  목포시  대양동 1181-5
Company: 스타힐스에너지
Owner: 이정석
Approved year: 2020</P></div>"
4,"[128.857084, 37.0701661]",75.4,gas,"<div class='plant_list'><P>Type: gas
Capacity: 20.1 MW
Address: 강원도  영월군  상동읍  천평리  249번지  일원
Company: 상동제일에너지
Owner: 김화준
Approved year: 2019</p><p> Type: gas
Capacity: 10.2 MW
Address: 강원도  영월군  상동읍  천평리  249번지  일원
Company: 천평에너지
Owner: 김리하
Approved year: 2019</p><p> Type: gas
Capacity: 20.1 MW
Address: 강원도  영월군  상동읍  천평리  249번지  일원
Company: 영월파워
Owner: 여운철
Approved year: 2019</p><p> Type: gas
Capacity: 25.0 MW
Address: 강원도  영월군  상동읍  천평리 168, 169, 169-3, 169-4,  170,  170-3,  171번 지
Company: 더윈에너지 
Owner: 조용기 
Approved year: 2020</P></div>"
3,"[127.412489, 37.242498]",20.7,others,"<div class='plant_list'><P>Type: others
Capacity: 4.3 MW
Address: 경기도  이천시  호법면  안평3리  산98번지
Company: 이천시
Owner: 이천시장
Approved year: 2016</p><p> Type: others
Capacity: 8.2 MW
Address: 경기도  이천시  호법면  안평3리 산98번지
Company: 경기도청
Owner: 이천시장
Approved year: 2017</p><p> Type: others
Capacity: 8.2 MW
Address: 경기도 이천시 호법면안평3리 산 98
Company: 경기도 이천시
Owner: 이천시장
Approved year: 2007</P></div>"
3,"[128.8839494, 37.1828442]",120.0,wind,"<div class='plant_list'><P>Type: wind
Capacity: 40.0 MW
Address: 강원  정선군  고한읍  고한리 산216-1  등지
Company: 정암풍력발전
Owner: 이용운
Approved year: 2015</p><p> Type: wind
Capacity: 40.0 MW
Address: 강원  정선군  고한읍  고한리 산216-1  등지
Company: 정암풍력발전
Owner: 이용운
Approved year: 2014</p><p> Type: wind
Capacity: 40.0 MW
Address: 강원도 정선군 고한읍고한리 산216-1 등지
Company: 정암풍력발전(주)
Owner: 이용운
Approved year: 2013</P></div>"
