cleaned_type,capacity_MW,address,year,company,owner,geometry.type,geometry.coordinates
wind,60.0,"강원  강릉시  강동면  임곡리 및  언별리,  옥계면  북동리,   왕산면  목계리  일원",2016,한국남부발전,이상호,Point,"[128.932449, 37.691505]"
wind,60.0,"강원  강릉시  강동면  임곡리 및  언별리,  옥계면  북동리,  왕산면  목계리  일원  일원",2016,한국남부발전,윤종근,Point,"[128.932449, 37.691505]"
wind,40.0,강원  강릉시  강동면  임곡리 산21  일원,2016,동성,"김 장 수 , 김흥식",Point,"[128.9920227, 37.6883164]"
wind,19.2,"강원  강릉시  옥계면  금진리 산81번지,  강동면  산성우리  산56번지",2016,윈드앤썬,김기영,Point,"[129.0318912, 37.6441514]"
bioenergy,9.1,강원  강릉시  옥계면  산계리 8번지(라파즈한라시멘트  공장부지  내),2014,엘아이케이파워,구자숭,Point,"[129.008498, 37.589326]"
wind,20.7,"강원  고성군  간성읍  탑동리 산1,  장신리  산  1-2,  어천리 산1-1",2016,유니슨,류지윤,Point,"[128.4666527, 38.34507120000001]"
wind,100.0,강원  고성군  간성읍  흘리  일원,2014,고성알프스풍력발전,장기태,Point,"[128.3826076, 38.2684351]"
wind,333.0,"강원  고성군  수동면,  현내면, 간성읍,  거진읍  일원",2015,지에이파워,김성훈,Point,"[128.4525014, 38.4362262]"
wind,15.0,강원  고성군  토성면  도원리 산1  외  6필지,2015,에스디오,김영건,Point,"[128.4463953, 38.2699552]"
wind,5.0,강원  고성군  토성면  원암리 427-1,2016,영동연료전지발전,정태연,Point,"[128.4382557, 38.214701]"
wind,138.6,강원  삼척시  근덕면  궁촌리 산310임  일원,2016,삼척풍력발전,김흥식,Point,"[129.2402328, 37.2714789]"
wind,60.0,강원  삼척시  도계읍  한내리 산55번지,2016,진성파워,남기준,Point,"[129.0210999, 37.2837986]"
wind,50.4,강원  삼척시  원덕읍  기곡리  산170번지,2017,비에스에너지,신상일,Point,"[129.2445177, 37.173808]"
wind,99.0,"강원  삼척시  하장면  중봉리 산1,  갈전리  산1,  정선군  임계 면  용산리  산160-1,  도전리  산64,  문래리    산1,  낙천리  산50번지  일원",2016,한국동서발전 ,김용진 ,Point,"[128.9032205, 37.4056165]"
wind,3.3,강원  삼척시  하장면  판문리 산42,2016,주원에너지,이영복,Point,"[128.9312043, 37.2528082]"
wind,39.0,강원  양양군  서면  미천리  산5번지  일원,2016,봉이,손승우,Point,"[128.5413552, 37.9326797]"
wind,90.0,"강원  양양군  서면  수리  산1, 내현리  산112-1현북면  장리 산1-11,  면옥치리  산1-1",2016,에코그린풍력 ,남병현 ,Point,"[128.590478, 37.995354]"
wind,60.0,"강원  양양군  서면  영덕리  산81-1,  공수전리  산2-7,  서림리 산1-5,  북암리  산1",2016,지에스이피에스,손영기,Point,"[128.5286361, 38.0364686]"
wind,36.0,강원  영월군  북면  마차리 산1-1,2021,지앤이윈드파워,이상득,Point,"[128.4764527, 37.2729055]"
wind,79.2,"강원  영월군  상동읍  구래리 산1-35번지,  산1-37번지  일원",2016,영월에코윈드,조우진,Point,"[128.7919744, 37.1641389]"
others,32.3,"강원  원주시  문막읍  원문로 2047(반계리    2262-5,6,7)일원",2014,원주에너지,김영만,Point,"[127.7844132, 37.27574140000001]"
wind,32.2,"강원  인제군  서화면  서흥리 산55,  북면  원통리  산226-1, 월학리  산1",2016,유니슨,류지윤,Point,"[128.2426529, 38.1934197]"
wind,39.0,강원  정선군  고한읍  고한리 산  1-17번지  일원,2016,웅진풍력발전,김국희,Point,"[128.8571752, 37.1956294]"
wind,40.0,강원  정선군  고한읍  고한리 산216-1  등지,2015,정암풍력발전,이용운,Point,"[128.8839494, 37.1828442]"
wind,40.0,강원  정선군  고한읍  고한리 산216-1  등지,2014,정암풍력발전,이용운,Point,"[128.8839494, 37.1828442]"
wind,39.0,"강원  정선군  남면  유평리  산208,  화암면  몰운리  산210",2016,명성파워그린,박정학,Point,"[128.7774232, 37.2885613]"
wind,60.0,강원  정선군  사북읍  사북리 산160-3번지  일원,2016,웅진풍력발전,김국희,Point,"[128.8107888, 37.2230134]"
wind,19.8,"강원  정선군  신동읍  방제리 443-21,22,24,68,70,35,64  조동리  499-9",2016,정선풍력발전,황영윤,Point,"[128.6902816, 37.1989361]"
wind,5.0,강원  정선군  임계면  가목리 산8-1,2016,영동연료전지발전,정태연,Point,"[128.9374537, 37.5034483]"
wind,99.0,"강원  정선군  화암면  건천리, 호촌리,  백전리,  삼척시  하장면  토산리,  갈전리,  추동리,  둔전리,  역둔리,  공전리    일원",2016,한국동서발전,김용진,Point,"[128.8352677, 37.3000542]"
wind,39.0,강원  철원군  근남면  육단리 산88-1번지  일원,2015,한일풍력발전,김재종,Point,"[127.5162673, 38.2200201]"
others,9.8,강원  춘천시  남산면  수동리 648-2  일원,2016,춘천에코에너지,이운옥,Point,"[127.6445998, 37.7619266]"
wind,40.0,"강원  태백시  원동  산97,  산13-1일원",2016,태백  가덕산풍력  발전사업,한국동서발전,Point,"[128.943353, 37.2776063]"
wind,33.0,강원  태백시  창죽동  9-167외  8필지  화전동  143-26외 1필지,2015,대관령풍력,정해주,Point,"[128.9602141, 37.2236723]"
wind,20.0,"강원  태백시  통동  산69,  황지동  산173-1",2014,한백풍력발전,김흥식,Point,"[128.9789425, 37.1867588]"
wind,18.0,"강원  태백시  하사미동  산219-2,  산485-6,  산485-7,  산485-9",2016,하사미,최근화,Point,"[128.9494799, 37.2919179]"
wind,6.6,강원  평창군  대관령면  횡계리 산2-1,2016,진고개윈드캠퍼스,황의정,Point,"[128.7209909, 37.7031357]"
wind,26.0,"강원  평창군  봉평면  진조리 산80-1,  횡성군  둔내면  삽 교리  산1-3",2014,청산풍력발전 ,김흥식 ,Point,"[128.3061851, 37.5610736]"
wind,69.3,"강원  평창군  봉평면  흥정리 산1,  덕거리  산1",2016,태환윈드파워평창,이기경,Point,"[128.4032848, 37.6653112]"
wind,3.4,"강원  평창군  용평면  노동리 산1-5,  산1-30도",2016,대관령풍력,정해주,Point,"[128.449901, 37.7075945]"
wind,168.3,"강원  평창군  진부면  마평리 산200,  화의리  산100,  막동리 산1,  장전리  산1,  대화면  신리 산410,    대화리  산70,  하안미리  산153,  평창읍  지동리  산1, 고길리  산1,  미탄면  회동리  산50-1  번지",2016,태환윈드파워평창,이기경,Point,"[128.5279181, 37.5740857]"
wind,7.0,"강원  횡성군  갑천면  포동리 산  78-2,  산  82-1번지  일원",2016,한국동서발전,김용진,Point,"[128.0953091, 37.5233409]"
others,9.9,강원  횡성군  횡성읍  조곡리 3-2번지  일원,2015,에너지관리사업단,임진국,Point,"[128.0293088, 37.4947916]"
bioenergy,30.0,강원 동해시 구호동,2011,동서발전,이길구,Point,"[129.1437223, 37.480706]"
coal,2000.0,강원 삼척 윈덕읍,2011,한국남부발전,남호기,Point,"[129.3432037, 37.2325164]"
wind,20.0,강원 삼척 하장면,2008,한국남부발전,사장,Point,"[128.9430045, 37.3495284]"
others,10.0,강원 원주 지정면,2010,한국중부발전,남인석,Point,"[127.8401841, 37.362118]"
wind,10.0,강원 태백 창죽동,2011,창죽풍력,예병국,Point,"[128.9587665, 37.236246]"
