"시점",신·재생에너지 총보급용량(발전)①+②,신·재생에너지 총보급용량(발전)①+②,신·재생에너지 총보급용량(발전)①+②,신·재생에너지 총보급용량(발전)①+②,신·재생에너지 총보급용량(발전)①+②,신·재생에너지 총보급용량(발전)①+②,신·재생에너지 총보급용량(발전)①+②,신·재생에너지 총보급용량(발전)①+②,신·재생에너지 총보급용량(발전)①+②,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,① 재생에너지,② 신에너지,② 신에너지,② 신에너지,② 신에너지,② 신에너지
"시점",소계,사업용,자가용,① 재생에너지 합,① 재생에너지 합,① 재생에너지 합,② 신에너지 합,② 신에너지 합,② 신에너지 합,태양광,태양광,태양광,풍력,풍력,풍력,수력,수력,수력,해양,해양,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,바이오,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,폐기물,연료전지,연료전지,연료전지,IGCC,IGCC
"시점",소계,소계,소계,소계,사업용,자가용,소계,사업용,자가용,소계,사업용,자가용,소계,사업용,자가용,소계,사업용,자가용,소계,사업용,소계,사업용,자가용,바이오가스,바이오가스,바이오가스,매립지가스,매립지가스,매립지가스,우드칩,우드칩,우드칩,목재펠릿,목재펠릿,목재펠릿,폐목재,폐목재,폐목재,흑액,흑액,하수슬러지고형연료,하수슬러지고형연료,Bio-SRF,Bio-SRF,Bio-SRF,바이오중유,바이오중유,소계,사업용,자가용,폐가스,폐가스,폐가스,산업폐기물,산업폐기물,산업폐기물,생활폐기물,생활폐기물,생활폐기물,시멘트킬른보조연료,시멘트킬른보조연료,SRF,SRF,SRF,정제연료유,정제연료유,소계,사업용,자가용,소계,사업용
"시점",소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,사업용,자가용,소계,사업용,자가용,소계,사업용,자가용,소계,사업용,자가용,소계,사업용,자가용,소계,자가용,소계,사업용,소계,사업용,자가용,소계,사업용,소계,소계,소계,소계,사업용,자가용,소계,사업용,자가용,소계,사업용,자가용,소계,자가용,소계,사업용,자가용,소계,사업용,소계,소계,소계,소계,소계
"2003",1474223,39920,1434303,-,-,-,-,-,-,563,-,563,3397,2640,757,1900,1900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1461480,35380,1426100,-,-,-,6883,-,6883,-,-,-,-,-,-,-,-,-,-,-,-
"2004",47189,43428,3761,-,-,-,-,-,-,3111,238,2873,41243,40800,443,2400,2390,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,435,-,435,-,-,-,-,-,-,-,-,-,-,-,-
"2005",139155,131957,7198,138399,131957,6442,756,-,756,4990,1224,3766,117914,117800,114,4774,4774,-,-,-,7839,7839,-,2116,2116,-,2773,2773,-,-,-,-,-,-,-,2950,2950,-,-,-,-,-,-,-,-,-,-,2882,320,2562,-,-,-,320,320,-,2562,-,2562,-,-,-,-,-,-,-,756,-,756,-,-
"2006",101511,84263,17248,101241,84013,17228,270,250,20,22322,9071,13251,6391,6200,191,5010,5010,-,-,-,55732,55732,-,-,-,-,54232,54232,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1500,1500,-,-,-,11786,8000,3786,-,-,-,-,-,-,11786,8000,3786,-,-,-,-,-,-,-,270,250,20,-,-
"2007",328635,142905,185730,328610,142905,185705,25,-,25,45347,28842,16505,2770,2750,20,9120,8720,400,-,-,5060,60,5000,5060,60,5000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,266313,102533,163780,251200,89100,162100,-,-,-,15113,13433,1680,-,-,-,-,-,-,-,25,-,25,-,-
"2008",413527,396901,16626,405676,389101,16575,7851,7800,51,275665,259110,16555,105270,105250,20,5680,5680,-,-,-,8601,8601,-,541,541,-,-,-,-,8060,8060,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10460,10460,0,-,-,-,-,-,-,10460,10460,0,-,-,-,-,-,-,-,7851,7800,51,-,-
"2009",451054,417830,33224,436553,403430,33123,14501,14400,101,166838,142657,24181,35276,35250,26,13433,13433,-,1000,1000,3534,3390,144,490,390,100,-,-,-,3044,3000,44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,216472,207700,8772,200000,200000,-,-,-,-,16472,7700,8772,-,-,-,-,-,-,-,14501,14400,101,-,-
"2010",663716,617190,46526,649486,603190,46296,14230,14000,230,127781,92350,35431,33436,33400,36,5520,5210,310,-,-,729,530,199,279,80,199,450,450,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,482020,471700,10320,462000,462000,-,-,-,-,20020,9700,10320,-,-,-,-,-,-,-,14230,14000,230,-,-
"2011",539173,485865,53308,518967,466215,52752,20206,19650,556,85416,42983,42433,51944,51813,131,96619,96309,310,254000,254000,23790,20810,2980,2150,170,1980,-,-,-,-,-,-,20640,20640,-,-,-,-,-,-,-,-,1000,-,1000,-,-,7198,300,6898,-,-,-,300,300,-,6898,-,6898,-,-,-,-,-,-,-,20206,19650,556,-,-
