year,solar,wind,re_solar,re_wind,re_total
2002,,98000.0,,,
2003,,54000.0,,,
2005,,,4990,117914,138399.0
2006,,3400.0,22322,6391,101241.0
2007,15000.0,179100.0,45347,2770,328610.0
2008,49300.0,105000.0,275665,105270,405676.0
2009,,,166838,35276,436553.0
2010,,,127781,33436,649486.0
2011,12500.0,148000.0,85416,51944,518967.0
2012,1355000.0,118000.0,315909,72811,699168.0
2013,211700.0,588600.0,567770,91906,1765354.0
2014,165700.00000000003,726600.0,1001294,61363,1961134.0
2015,76000.0,1479100.0,1225318,207791,1573751.0
2016,72100.0,3706700.0,1059428,186810,1595355.0
2017,631800.0,2243900.0,1582347,113562,2278851.0
2018,934100.0,2042400.0,2589137,161309,3657429.0
2019,4310800.0,1986300.0,3917132,191221,4491136.0
2020,959800.0,2210000.0,4658157,160136,5340450.0
2021,326100.0,8826500.0,,,
2022,584100.0,7718200.0,,,
