,owner,company,address,type,capacity_MW,approval_date,prep_time,note
0,이건우,강원풍력발전(주),강원도 평창군 도암면횡계리,풍력,"98,000kw",`02.6.11,2005.10.31,
1,후란쓰이스링거,코리아카본블랙(주)여수발전소,전남 여수시 월내동 350,부생가스,"13,900×22,500×1기",‘02.6,2002.8.31,
2,후란쓰이스링거,코리아카본블랙(주)부평발전소,인천시 부평구 갈산1동94,부생가스,"12,500Kw",‘02.6,2002.8.31,
3,이호인,(주)상원이엔씨매립가스,인천시 서구 백석동 58,내연기관(매립가스),"13,500×5기1,000×3기380×1기",‘02.9,2002.12.31,
4,김영철,한국중부발전(주)보령발전소,충남 보령시 오천면오포리 산 212,석탄,총580만KW,‘02.9,7호기‘08.6.308호기‘08.12.31,송전용건설시한전및 거래와 협의
5,이영철,한국서부발전(주)태안화력발전소,충남 태안군 원북면방갈리,석탄,총400만kw,'02.11.12,7호기07.6.308호기08.3.31,
6,박종우,강원풍력발전(주),강원도 평창군 도암면횡계리,풍력,"98,000kw",'03.10.27,2005.10.31,산림형질변경허가를 득한 후 설치
7,조방래,LG에너지(주)부곡발전소,충남 당진군 송악면부곡1리,lng,총 100만kw,'02.11.12,2005.5.31,
8,정종수,지에스이피에스(주),충남 당진군 송악면부곡리 564,lng,1000MW,'02.11.12,2008.3.31,재교부(‘08.3.31)
9,이용오,한국동서발전(주)당진화력발전소,충남 당진군 석문면교로리 산 974,석탄,총400만kw,'02.12,7호기07.6.308호기07.12.31,
10,문무길,(주)코에지 양산풍력발전소,경남 양산시 원동면대리 산 93-4,풍력,"6,000kw",'03.2,2004.11.30,
11,이돈영,대전시금고동쓰레기매립가스발전소,대전시 유성구 금고동산21,쓰레기매립가스,"3,460kw",'03.4,2003.5.31,
12,콜린시우떵탬,메이야율촌전력(주),전남 순천시 해룡면율촌 제1산단,lng복합,50만kw,'03.5.6,가스04.6.30스팀05.6.30,
13,이임택,한국남부발전(주)하동화력,경남 하동군 금성면가덕리 310,석탄,7-8호기100만kw,'03.5.27,7호기08.6.308호기09.3.31,
14,조동일,에코에너지(주)수도권매립지 매립발전소,인천시 서구 백석동 58,매립지가스,50mw,'03.6.24,'07.3.7,
15,김길원,영덕풍력발전(주),경북 영덕군 영덕읍창포리,풍력,4만kw,'03.10.20,2004.6.30,
16,박영덕,sk전력(주),전남 광양시 금호동광양제철소 스래그처리장,lng,45만kw2기,‘03.6.26,1호기06.3.312호기06.12.31,
17,김영철,한국중부발전(주)제주화력,제주시 삼양1동 900,중유,4만kw,'03.11.11,2005.6.30,송전용설비건설 한전전력거래소와 협의
18,이임택,한국남부발전(주)남제주화력,제주도 남제주군 안덕면화순리 610,중유,20만kw,'03.11.11,3호기06.9.304호기07.3.31,송전용설비건설 한전전력거래소와 협의
19,문무길,(주)코에지 양산퐁력발전소,경남 양산시 원동면대리 산 93-4,풍력,"8,000kw",'03.12.9,2004.11.30,
20,윤행순,한국남동발전(주)영흥화력,인천시 옹진군 영흥면외리 산 168,유연탄,80만 kw2기,'03.12.9,3호기08.6.304호기09.3.31,
21,고석구,한국수자원공사,대전시 대덕구 연축동산 6-2,조력,25만4천kw,'04.10.20,5년,
22,장기형,dk풍력발전(주)양산발전소,경남 양산시 원동면대리 산 93,풍력,12MW,'07.6.29,19개월,
23,이중재,한국수력원자력(주),부산시 기장군 장안읍효암리,원자력,200만 KW,'05.2.28,8년이내,
24,전주시장,전주시,전주시 완산구 상림동산 180-6,증기터어빈,8MW,'05.4.21,4년이내,
25,정태훈,안정에너지(주),경남 통영시 광도면안정리,"가스,증기터어빈",747MW,'05.5.31,4년이내,
26,김영철,한국중부발전(주),인천시 서구 원창동인천 화력발전소,LNG,504MW,'05.6.29,,
27,박희갑,한국남동발전(주),경북 예천군 하리면송월리,양수,800MW,'05.7.22,,
28,김영철,한국중부발전(주),강원도 양양군 서면영덕리,양수,"1,000MW",'05.7.22,,
29,김종신,한국서부발전(주),경북 청송군 파천면신흥리,양수,600MW,'05.7.22,,
30,이용오,한국동서발전(주),충남 당진군 석문면교로리 산 974,석탄화력,"!,000MW",'05.7.22,,
31,이중재,한국수력원자력(주),경북 경주시 양북면봉길리 일원,원자력,200만KW,'06.1.20,8년,
32,정장섭,한국중부발전(주),강원도 양구군 해안면오유리 산1,풍력,2만KW,'06.3.31,‘15.6.30,준비기간 연장
33,정장섭,한국중부발전(주),인천시 서구 원창동 336,복합화력,500MW,'06.5.30,,
34,김완주,전라북도,전북 군산시 비옹도동군장 국가산단,풍력,"3,400KW",'06.7.18,'07.3월,
35,정장섭,한국중부발전(주),충남 보령시 오천면보령화력내,소수력,5MW,'06.10.9,'08.12월,
36,이승우,포스코파워(주),인천시 서구 원창동244-17외,복합화력,"1,000MW",'06.12.21,6년,6개월이내부지매입 완료
37,이천시장,경기도 이천시,경기도 이천시 호법면안평3리 산 98,증기터빈,8.2MW,'07.2.28,13개월,
38,산체스,(주)영양풍력발전공사,경북 영양군 석보면요원리 삼의리,풍력,64.5MW,'07.2.28,14개월,1개월이내환경부 검토
39,김종신,한국서부발전(주)군산복합화력,전북 군산시 경암동590-2,복합화력,717MW,'07.3.22,2년 9월,4개월이내환경평가
40,민계식,현대중공업(주)대산복합화력,충남 서산시 대산읍독곶리 634,복합화력,507MW,'07.3.22,1개월,
41,마사루,(주) 태기산 풍력발전,강원도 횡성군 둔내면태기리산 1-1,풍력,40mw,'07.3.22,9개월,
42,박현우,(주)고창솔라파크,전북 고창군 흥덕면치룡리 100,태양광,15mw,'07.6.29,11개월,
43,장기형,dk풍력발전(주)영산발전소,경남 양산시 원동면대리 산 93,풍력,12mw,'07.6.29,19개월,
44,이재혁,(주)경남신제생에너지,경남 밀양시 산내면삼양리 산 1-3,풍력,50.6mw,'07.8.21,2010.12.31,
45,백종만,YPP에너지(주),전남 보성군 겸백면도안리 산 20,태양광,10MW,'07.10.30,2010.11.29,개별법 인허가받을 것
46,김정태,(주)영월솔라테크,강원도 영월군 남면연당2리 1036,태양광,50MW,'07.10.30,2013년9월,허가증 재발급(‘12.12.24)
47,정태호,한국동서발전(주),충남 당진군 석문면교로리 산974,소수력,4.998MW,07.11.19,2009.12.31,개별법 인허가받을 것
48,김종신,한국수력원자력(주),울산시 울주군 서생면신암리 1000,원자력,"2,800MW",07.12.24,2014.9.30,적정용량의분로리액터 설계
